[19-11-2022 | 22:53:44] oto: rtds
[19-11-2022 | 22:53:44] oto: dfsg
[19-11-2022 | 22:53:44] oto: dsg
[19-11-2022 | 22:53:45] oto: sdfg
[19-11-2022 | 22:53:47] oto: quit
[20-11-2022 | 10:33:01] karolina: řeka
[20-11-2022 | 10:33:01] karolina: ewr
[20-11-2022 | 10:33:02] karolina: weř
[20-11-2022 | 10:33:02] karolina: ščě
[20-11-2022 | 10:33:02] karolina: ř
[20-11-2022 | 10:33:02] karolina: ščě
[20-11-2022 | 10:33:04] karolina: žčřšěš+čřšžčřýáéí=íé=í
[20-11-2022 | 10:33:07] karolina: =éěí+čýýřžáířá=žíéýž´áýá´=ýžříčážášýěýřžčž
[20-11-2022 | 10:33:10] karolina: řžčřýážíýéá=í´é=íáýžřčšě
[20-11-2022 | 10:33:14] oto: èšìèžáýíéá=éíáýžèšì
[20-11-2022 | 10:33:40] karolina: čřčč
[20-11-2022 | 10:33:41] karolina: čřč
[20-11-2022 | 10:33:41] karolina: č
[20-11-2022 | 10:33:41] karolina: čř
[20-11-2022 | 10:33:42] karolina: čř
[20-11-2022 | 10:33:43] karolina: čřčřčřčř
[20-11-2022 | 10:33:43] karolina: čřřč
[20-11-2022 | 10:33:44] karolina: ř
[20-11-2022 | 10:33:50] oto: šèøèø
[20-11-2022 | 10:35:03] oto: quit
[20-11-2022 | 10:35:08] karolina: quit
[20-11-2022 | 10:38:49] Jurda: Ahoj
[20-11-2022 | 10:38:53] Oto: No nazdar
[20-11-2022 | 10:41:09] Jurda: quit
[20-11-2022 | 10:41:11] Oto: quit
